#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
22000,88.00000000001562,-1112408.6920230174,206568.2883764421,-905840.4036465753,302.26051937368425,793.5370850410598
23000,92.0000000000205,-1111721.3820737563,205543.23181684874,-906178.1502569076,300.760607985904,794.2090747620878
24000,96.0000000000254,-1114461.6890899027,204992.0711178129,-909469.6179720898,299.95412350341985,791.5397067297693
25000,100.00000000003028,-1111878.2328461995,205171.36668307602,-906706.8661631235,300.21647728048686,792.8167902865081
26000,104.00000000003517,-1112651.154725085,206345.78832878533,-906305.3663962997,301.93494674831186,791.5560123710029
27000,108.00000000004006,-1112186.491586036,206499.99912187862,-905686.4924641574,302.1605952966915,792.6154011652628
28000,112.00000000004495,-1111961.7382002259,205135.8018883833,-906825.9363118425,300.16443718566046,792.8635957482223
29000,116.00000000004984,-1112446.4447760703,205868.03943972255,-906578.4053363478,301.2358819089152,792.6650326299429
30000,120.00000000005473,-1112963.7800638424,204797.02762327227,-908166.7524405702,299.66872660913526,791.8743645714161
31000,124.00000000005961,-1113655.055312545,206309.74916827006,-907345.306144275,301.88221253890947,793.0225365886632
32000,128.0000000000645,-1114187.2140844641,206401.69085704527,-907785.5232274189,302.0167459797377,792.2113561992088
33000,132.00000000005517,-1112872.311352984,206321.50315550534,-906550.8081974788,301.89941153065394,793.9240898076329
34000,136.00000000004584,-1112660.1250166697,204590.97311430954,-908069.1519023601,299.367217876174,794.4195572211635
35000,140.00000000003652,-1114231.8563241558,205963.1869526236,-908268.6693715323,301.37510626369215,792.4096886894189
36000,144.0000000000272,-1112989.7026747987,206436.31408101378,-906553.3885937849,302.06740832361135,793.565287588797
37000,148.00000000001788,-1112015.2557373503,205087.10596601202,-906928.1497713383,300.0931830018599,792.403104862035
38000,152.00000000000855,-1112717.5108388672,207399.1655668354,-905318.3452720317,303.4762982963733,793.4594523256952
39000,155.99999999999923,-1113694.1045866543,204956.073467405,-908738.0311192493,299.90145003357577,792.2689397349459
40000,159.9999999999899,-1112942.6937425984,205443.2966859571,-907499.3970566413,300.61437816135356,794.1530449026703
41000,163.9999999999806,-1113123.9497528598,205455.01002407382,-907668.939728786,300.6315176733793,792.0651793391044
42000,167.99999999997127,-1112796.961678138,205545.09857503037,-907251.8631031077,300.7633395150364,793.4422906345925
43000,171.99999999996194,-1111653.7104664603,204515.95574091905,-907137.7547255412,299.2574488965243,794.7873285368541
44000,175.99999999995262,-1113446.2370227473,205548.91889990444,-907897.3181228428,300.7689295956325,791.2126805051424
45000,179.9999999999433,-1112354.2845508344,207005.8866677063,-905348.3978831281,302.9008339535946,793.84078465798
46000,183.99999999993398,-1112549.647694869,204352.94049814853,-908196.7071967204,299.01891725968443,793.1771438223274
47000,187.99999999992465,-1113369.2510750014,204277.16717522,-909092.0838997815,298.9080421388077,793.4723585308706
48000,191.99999999991533,-1114072.5732564023,205326.7090881455,-908745.8641682568,300.44378165719485,793.3967522187138
49000,195.999999999906,-1112754.9169896208,203801.05874133465,-908953.8582482862,298.2113776912515,794.8143092946111
50000,199.9999999998967,-1113178.5474221716,204976.78178327275,-908201.7656388988,299.9317514237782,794.4646549584866
51000,203.99999999988736,-1112609.4268953213,205119.67091984348,-907489.7559754779,300.1408335872225,792.5720566920037
52000,207.99999999987804,-1113325.6603210736,206340.62493411126,-906985.0353869624,301.9273914242678,792.787285224166
53000,211.99999999986872,-1112615.9457273064,204569.85063610828,-908046.0950911981,299.3363104639968,792.4412427705399
54000,215.9999999998594,-1112897.1424272014,204766.9806931091,-908130.1617340923,299.6247605154619,792.6425396451353
55000,219.99999999985008,-1109834.505831262,205491.30983322806,-904343.195998034,300.6846332762357,797.3251314010702
56000,223.99999999984075,-1112051.1229221746,205251.86910632593,-906799.2538158487,300.33427224530743,793.4516560202511
57000,227.99999999983143,-1112184.0863410002,204663.97806342127,-907520.1082775788,299.47404218114735,791.8147675644105
58000,231.9999999998221,-1113809.5746464739,204468.08266332446,-909341.4919831494,299.18739873823773,792.5380937398002
59000,235.9999999998128,-1113025.8324474161,206307.1603500947,-906718.6720973215,301.87842445733895,792.8750737677519
60000,239.99999999980346,-1113067.618776464,205687.69960141013,-907379.9191750537,300.972000101981,793.4362995397972
61000,243.99999999979414,-1113106.2673709793,205762.4372988096,-907343.8300721697,301.0813598464525,793.1340892141372
62000,247.99999999978482,-1114740.84503257,207165.7393817398,-907575.1056508301,303.13473802835273,792.7285573939785
63000,251.9999999997755,-1112133.9303333052,206179.32768807487,-905954.6026452302,301.6913736417529,793.9736768633205
64000,255.99999999976617,-1114189.989711401,205475.2331431846,-908714.7565682165,300.6611091006686,793.0764429916533
65000,259.99999999978525,-1112644.746823378,205282.48233247275,-907362.2644909052,300.3790669701297,792.6697911350891
66000,263.99999999980434,-1112347.1957517164,204501.85198079897,-907845.3437709174,299.2368116056191,791.7959874530308
67000,267.99999999982344,-1113892.6814886602,205419.71555823312,-908472.9659304271,300.57987313655383,792.8538361364657
68000,271.99999999984254,-1113112.8307159664,206644.66167181105,-906468.1690441554,302.3722724026992,792.2070268872073
69000,275.99999999986164,-1112156.850128225,205174.46477432584,-906982.3853538992,300.22101055458035,793.702895672852
70000,279.99999999988074,-1111932.2280646479,205432.30676887327,-906499.9212957746,300.59829719330304,793.7382411254569
71000,283.99999999989984,-1111130.786699349,205304.9226215919,-905825.8640777571,300.4119026657603,795.3043991267664
72000,287.99999999991894,-1112400.8173114518,206350.658099349,-906050.1592121028,301.94207242762775,795.6800598569902
73000,291.99999999993804,-1112758.08040677,204891.88328328117,-907866.1971234889,299.8075239109146,792.6144242399321
74000,295.99999999995714,-1113192.0427097855,205256.48564839058,-907935.5570613949,300.3410273886701,793.8234105808544
75000,299.99999999997624,-1113403.7422494525,204942.1756156907,-908461.5666337619,299.88111403761843,791.2640866812211
76000,303.99999999999534,-1113395.1612541461,206135.78615897652,-907259.3750951696,301.6276616107193,791.621117434225
77000,308.00000000001444,-1112468.6891635312,205418.7510362515,-907049.9381272797,300.57846180223237,793.6790891851698
78000,312.00000000003354,-1113386.6339316787,205357.04067264817,-908029.5932590305,300.4881642706021,795.1395805623433
79000,316.00000000005264,-1112833.493688046,204403.8045903608,-908429.6890976852,299.09334401245655,792.8821823830505
80000,320.00000000007174,-1114259.3045376437,206315.7801633709,-907943.5243742728,301.89103737705784,791.9779954712623
81000,324.00000000009084,-1112718.0196366208,205262.14243377277,-907455.877202848,300.3493046654053,793.2560849721525
82000,328.00000000010994,-1112886.230380565,206381.6872894126,-906504.5430911523,301.9874758105869,792.9097489318002
83000,332.00000000012903,-1111344.9471580377,205497.2420283617,-905847.705129676,300.69331354558494,794.3715573531395
84000,336.00000000014813,-1113372.6147820987,207102.88275168752,-906269.7320304111,303.0427632252742,794.8781091231614
85000,340.00000000016723,-1112880.9770557666,205730.60346979485,-907150.3735859718,301.03477907760714,794.0615990852183
86000,344.00000000018633,-1112696.5108494395,205051.9484383852,-907644.5624110543,300.0417388395256,793.1339101682701
87000,348.00000000020543,-1113130.6852431847,205319.1832963525,-907811.5019468322,300.43276956161174,795.1610344386274
88000,352.00000000022453,-1113682.652034387,205125.45686667677,-908557.1951677102,300.1492998591205,794.678468643438
89000,356.00000000024363,-1112485.1829496147,206008.02798349335,-906477.1549661213,301.44071978736736,793.6854997135086
90000,360.00000000026273,-1113835.2368355477,204887.7483500151,-908947.4884855326,299.80147348039407,791.906545560245
91000,364.00000000028183,-1113128.70487607,205407.19459775934,-907721.5102783106,300.5615518731808,792.3773541844329
92000,368.00000000030093,-1113950.5568705136,206601.01168209856,-907349.5451884151,302.3084016669496,792.6698877909624
93000,372.00000000032003,-1112752.9663138771,205650.73141762335,-907102.2348962538,300.9179065016539,793.0584636482607
94000,376.0000000003391,-1111190.9841106487,205597.2858029048,-905593.698307744,300.8397023426804,794.4435929581135
95000,380.0000000003582,-1114132.2344910959,205388.45908253943,-908743.7754085565,300.53413717847803,793.1769925052986
96000,384.0000000003773,-1113894.9447492585,204903.85771301406,-908991.0870362443,299.82504546457955,792.6208321544174
97000,388.0000000003964,-1112267.0363135496,205736.44135659965,-906530.5949569499,301.0433213505355,792.9609680117196
98000,392.0000000004155,-1113798.738839386,205420.78685642013,-908377.9519829659,300.5814407108846,793.2586563801519
99000,396.0000000004346,-1112854.7120094206,206794.94542726324,-906059.7665821573,302.5921747232995,794.0428056051918
100000,400.0000000004537,-1114156.743466963,205581.69193893153,-908575.0515280315,300.8168846611251,791.5534978241899
