#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
72000,287.99999999991894,-1102831.2114719572,203784.33440763393,-899046.8770643233,301.6791617845079,784.5820095863062
73000,291.99999999993804,-1102590.6226431476,202296.6212638228,-900294.0013793248,299.4767743659394,784.1499362149303
74000,295.99999999995714,-1103281.700909664,202584.46025236926,-900697.2406572946,299.9028867314753,784.7454809344578
75000,299.99999999997624,-1102219.240395666,203441.4774379681,-898777.762957698,301.1716016547196,785.9917755384197
76000,303.99999999999534,-1100514.7969849631,203631.85489061964,-896882.9420943435,301.45343347709957,785.9701162315789
77000,308.00000000001444,-1101354.9965686575,203339.22750656726,-898015.7690620902,301.02023244526987,784.6733195251729
78000,312.00000000003354,-1102139.5947160395,203195.15469856423,-898944.4400174753,300.80694929923885,787.4098450908667
79000,316.00000000005264,-1101546.8211697005,203414.92810962742,-898131.893060073,301.13229844162896,785.5020959558924
80000,320.00000000007174,-1102153.8636682136,203432.5430063111,-898721.3206619024,301.1583752609385,785.0894185811322
81000,324.00000000009084,-1101709.8191062566,204360.19968660106,-897349.6194196555,302.53166379436357,785.4571845881154
82000,328.00000000010994,-1103255.531569494,204884.1519413761,-898371.3796281179,303.30731456995,782.9413614332796
83000,332.00000000012903,-1102602.8034525253,203705.1417348746,-898897.6617176507,301.56192618243404,785.422699360052
84000,336.00000000014813,-1102955.2165130395,203749.65966694726,-899205.5568460922,301.62782983725174,788.0727872546041
85000,340.00000000016723,-1100629.96801625,203529.45983723536,-897100.5081790147,301.30184943132076,785.252494639075
86000,344.00000000018633,-1101046.1970045557,203081.07748893547,-897965.1195156203,300.6380711709001,785.9492311295788
87000,348.00000000020543,-1102139.8562219432,204732.74889087022,-897407.1073310729,303.083179846832,783.7932194477047
88000,352.00000000022453,-1104559.6479924684,203480.81259905585,-901078.8353934126,301.22983281591314,784.9218247143053
89000,356.00000000024363,-1101707.2753775604,204501.4383272829,-897205.8370502775,302.74075128313615,785.1598689441495
90000,360.00000000026273,-1102746.2927128896,202977.45596797855,-899768.836744911,300.4846714815864,784.9106725101876
91000,364.00000000028183,-1102847.278382684,203423.86061511177,-899423.4177675723,301.1455219839341,785.304634930291
92000,368.00000000030093,-1101672.833078485,203990.65962177824,-897682.1734567068,301.98460242516853,783.3316663616931
93000,372.00000000032003,-1102166.8539601294,203166.85645007904,-898999.9975100504,300.76505701194503,785.3461263544132
94000,376.0000000003391,-1103455.1412828658,203276.68877851494,-900178.4525043508,300.92765108413266,784.1476439161131
95000,380.0000000003582,-1102736.3232000126,204787.09344764036,-897949.2297523723,303.163630684143,781.7101846949663
96000,384.0000000003773,-1101628.0108474428,203246.05589758191,-898381.9549498609,300.88230264324403,783.0234914325042
97000,388.0000000003964,-1099900.9246753426,204267.76158349798,-895633.1630918446,302.39481986304696,784.1913297254979
98000,392.0000000004155,-1104260.6663780166,203022.62643205584,-901238.0399459607,300.5515411346433,783.1593325688212
99000,396.0000000004346,-1100705.290596934,203690.8524655562,-897014.4381313778,301.5407725701948,786.8136217512663
100000,400.0000000004537,-1101293.0666620815,202915.56539105283,-898377.5012710287,300.3930496333046,788.2131813918285
